Count,Date,Stage,ResultNote,Home,Score,Away,MatchNotes,MatchNotes,MatchNotes,MatchNotes,MatchNotes,MatchNotes,MatchNotes,MatchNotes,MatchNotes,MatchNotes,MatchNotes,MatchNotes,MatchNotes,MatchNotes,MatchNotes,MatchNotes,MatchNotes
9 === ,29 April 1972 ,Quarter-finals,Full time »,Italy,0-0,Belgium,Referee: Hristo Nikolov (BUL)   – Stadium: Stadio Giuseppe Meazza, Milan (ITA) ,,,,,,,,,,,,,,,
9 === ,29 April 1972 ,Quarter-finals,Full time »,Hungary,1-1,Romania,Referee: David William Smith (ENG)   – Stadium: Ferenc Puskás, Budapest (HUN) ,,,,,,,,,,,,,,,
9 === ,29 April 1972 ,Quarter-finals,Full time »,England,1-3,West Germany,Referee: Robert Helies (FRA)   – Stadium: Wembley, London (ENG) ,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
20 === ,20 June 1976 ,Final,Full time »,Czechoslovakia,2-2,West Germany,Czechoslovakia win  5-3  on penalties, ,(,5-3p,) ,Referee,not available, ,Stadium,:,Stadion FK Crvena zvezda, ,Belgrade (SRB) ,,,,
11 === ,19 June 1976 ,Third place,Full time »,Netherlands,3-2,Yugoslavia,Netherlands win after extra time , ,Referee: Walter Hungerbühler (SUI)   – Stadium: Stadion Maksimir, Zagreb (CRO) ,,,,,,,,,,,,,
11 === ,17 June 1976 ,Semi-finals,Full time »,Yugoslavia,2-4,West Germany,West Germany win after extra time , ,Referee: Alfred Delcourt (BEL)   – Stadium: Stadion FK Crvena zvezda, Belgrade (SRB) ,,,,,,,,,,,,,
11 === ,16 June 1976 ,Semi-finals,Full time »,Czechoslovakia,3-1,Netherlands,Czechoslovakia win after extra time , ,Referee: Clive Thomas (WAL)   – Stadium: Stadion Maksimir, Zagreb (CRO) ,,,,,,,,,,,,,
19 === ,22 May 1976 ,Quarter-finals,Full time »,Wales,1-1,Yugoslavia,Aggregate: 1-3, ,(,agg,: 1-3) ,Referee,Rudi Glöckner (GER)  ,Stadium,:,Ninian Park, ,Cardiff (WAL) ,,,,,
19 === ,22 May 1976 ,Quarter-finals,Full time »,West Germany,2-0,Spain,Aggregate: 3-1, ,(,agg,: 3-1) ,Referee,Robert Wurtz (FRA)  ,Stadium,:,Olympiastadion, ,Munich (GER) ,,,,,
